thisN,thisTrialN,thisRepN,probe_size_dg,correct_key,illusion_response.keys,illusion_response.corr,illusion_response.rt,illusion_response.duration,key_resp.keys,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction_text.started,instruction_key.started,instructions.stopped,instructions_loop.instruction_key.keys,instructions_loop.instruction_key.rt,instructions_loop.instruction_key.duration,illusion.started,probe_disk.started,target_disk.started,outer_disk_12.started,outer_disk_3.started,outer_disk_6.started,outer_disk_9.started,outer_disk_130.started,outer_disk_430.started,outer_disk_730.started,outer_disk_1030.started,illusion_response.started,fixation_cross.started,illusion.stopped,trials.illusion_response.keys,trials.illusion_response.corr,trials.illusion_response.rt,trials.illusion_response.duration,iti.started,key_resp.started,key_resp.stopped,iti.stopped,trials.key_resp.keys,end.started,end_text.started,end_text.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
29,9,2,2.0,l,l,1,0.5089014999975916,None,None,,,,,2,9,29,9,53.18949280001107,,,,,,,,,53.17373909999151,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.706832199997734,l,1,0.5089014999975916,None,53.70687270001508,53.72297649999382,54.22287130000768,54.20644219999667,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
30,0,3,1.9,l,l,1,0.6911723999946844,None,None,,,,,3,0,30,8,54.22287130000768,,,,,,,,,54.20719260000624,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.9235086000117,l,1,0.6911723999946844,None,54.92354809999233,54.939632900001016,55.43965770001523,55.42305499999202,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
31,1,3,1.2,s,s,1,0.4347399999969639,None,None,,,,,3,1,31,2,55.43965770001523,,,,,,,,,55.423806900013005,55.43965770001523,55.43965770001523,55.43965770001523,55.43965770001523,55.43965770001523,55.43965770001523,55.43965770001523,55.43965770001523,55.43965770001523,55.43965770001523,55.43965770001523,55.43965770001523,55.88987610000186,s,1,0.4347399999969639,None,55.88991620001616,55.90619450001395,56.406147400004556,56.38976570000523,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
32,2,3,2.0,l,l,1,0.8279506999824662,None,None,,,,,3,2,32,9,56.406147400004556,,,,,,,,,56.390516599989496,56.406147400004556,56.406147400004556,56.406147400004556,56.406147400004556,56.406147400004556,56.406147400004556,56.406147400004556,56.406147400004556,56.406147400004556,56.406147400004556,56.406147400004556,56.406147400004556,57.23999100000947,l,1,0.8279506999824662,None,57.240030899993144,57.25618409999879,57.75628709999728,57.73967109998921,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
33,3,3,1.6,l,l,1,1.4297619000135455,None,None,,,,,3,3,33,5,57.75628709999728,,,,,,,,,57.74044950000825,57.75628709999728,57.75628709999728,57.75628709999728,57.75628709999728,57.75628709999728,57.75628709999728,57.75628709999728,57.75628709999728,57.75628709999728,57.75628709999728,57.75628709999728,57.75628709999728,59.190125099994475,l,1,1.4297619000135455,None,59.19016329999431,59.20613000000594,59.70614670001669,59.68964880000567,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
34,4,3,1.0,s,s,1,0.9677977999963332,None,None,,,,,3,4,34,0,59.70614670001669,,,,,,,,,59.69040950000635,59.70614670001669,59.70614670001669,59.70614670001669,59.70614670001669,59.70614670001669,59.70614670001669,59.70614670001669,59.70614670001669,59.70614670001669,59.70614670001669,59.70614670001669,59.70614670001669,60.69002549999277,s,1,0.9677977999963332,None,60.69006349999108,60.70611190001364,61.20610400001169,61.189780499989865,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
35,5,3,1.1,s,s,1,0.7961543000128586,None,None,,,,,3,5,35,1,61.20610400001169,,,,,,,,,61.19054119999055,61.20610400001169,61.20610400001169,61.20610400001169,61.20610400001169,61.20610400001169,61.20610400001169,61.20610400001169,61.20610400001169,61.20610400001169,61.20610400001169,61.20610400001169,61.20610400001169,62.00665409999783,s,1,0.7961543000128586,None,62.006695099989884,62.02290680000442,62.52294809999876,62.50631309999153,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
36,6,3,1.8,l,l,1,1.094967799988808,None,None,,,,,3,6,36,7,62.52294809999876,,,,,,,,,62.50708320000558,62.52294809999876,62.52294809999876,62.52294809999876,62.52294809999876,62.52294809999876,62.52294809999876,62.52294809999876,62.52294809999876,62.52294809999876,62.52294809999876,62.52294809999876,62.52294809999876,63.623303000000305,l,1,1.094967799988808,None,63.62334469999769,63.63943169999402,64.13948630000232,64.12298079999164,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
37,7,3,1.7,l,l,1,0.6470297999912873,None,None,,,,,3,7,37,6,64.13948630000232,,,,,,,,,64.12372870001127,64.13948630000232,64.13948630000232,64.13948630000232,64.13948630000232,64.13948630000232,64.13948630000232,64.13948630000232,64.13948630000232,64.13948630000232,64.13948630000232,64.13948630000232,64.13948630000232,64.79006709999521,l,1,0.6470297999912873,None,64.79010740001104,64.80609200001345,65.30613800001447,65.28974820001167,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
38,8,3,1.3,s,s,1,2.344704199989792,None,None,,,,,3,8,38,3,65.30613800001447,,,,,,,,,65.29050350000034,65.30613800001447,65.30613800001447,65.30613800001447,65.30613800001447,65.30613800001447,65.30613800001447,65.30613800001447,65.30613800001447,65.30613800001447,65.30613800001447,65.30613800001447,65.30613800001447,67.65672520000953,s,1,2.344704199989792,None,67.65676730000996,67.67273240000941,68.17278920000535,68.15626429999247,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
39,9,3,1.4,s,s,1,2.9818268999806605,None,None,,,,,3,9,39,4,68.17278920000535,,,,,,,,,68.15700100001413,68.17278920000535,68.17278920000535,68.17278920000535,68.17278920000535,68.17278920000535,68.17278920000535,68.17278920000535,68.17278920000535,68.17278920000535,68.17278920000535,68.17278920000535,68.17278920000535,71.15666169999167,s,1,2.9818268999806605,None,71.15670190000674,71.17276980000315,71.6727605999913,71.6564129999897,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
40,0,4,1.9,l,l,1,0.44173449999652803,None,None,,,,,4,0,40,8,71.6727605999913,,,,,,,,,71.65717359998962,71.6727605999913,71.6727605999913,71.6727605999913,71.6727605999913,71.6727605999913,71.6727605999913,71.6727605999913,71.6727605999913,71.6727605999913,71.6727605999913,71.6727605999913,71.6727605999913,72.12311780001619,l,1,0.44173449999652803,None,72.12315570001374,72.13951490001637,72.639499300014,72.62310220001382,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
41,1,4,1.3,s,s,1,0.8513636999996379,None,None,,,,,4,1,41,3,72.639499300014,,,,,,,,,72.62386479999986,72.639499300014,72.639499300014,72.639499300014,72.639499300014,72.639499300014,72.639499300014,72.639499300014,72.639499300014,72.639499300014,72.639499300014,72.639499300014,72.639499300014,73.50642499999958,s,1,0.8513636999996379,None,73.50646259999485,73.52280870001414,74.0227642999962,74.006434800016,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
42,2,4,1.2,s,s,1,0.4914456999977119,None,None,,,,,4,2,42,2,74.0227642999962,,,,,,,,,74.00719460000983,74.0227642999962,74.0227642999962,74.0227642999962,74.0227642999962,74.0227642999962,74.0227642999962,74.0227642999962,74.0227642999962,74.0227642999962,74.0227642999962,74.0227642999962,74.0227642999962,74.5233058000158,s,1,0.4914456999977119,None,74.52334650000557,74.5393541000085,75.03940629999852,75.02299800000037,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
