target_direction,flanker_direction,current_congruency,previous_congruency,response_type,initiation_time,movement_time,response_time
right,right,C,i,repeat,0.073,0.475,0.535
left,left,C,c,switch,0.501,0.14,0.642
right,right,C,c,switch,0.289,0.202,0.488
right,right,C,c,repeat,0.22,0.185,0.403
left,left,C,c,switch,0.234,0.284,0.525
right,right,C,c,switch,0.208,0.185,0.383
right,left,I,c,repeat,0.24,0.334,0.57
left,left,C,i,switch,0.29,0.16,0.442
right,right,C,c,switch,0.324,0.14,0.457
right,right,C,c,repeat,0.238,0.235,0.467
right,left,I,c,repeat,0.285,0.154,0.44
left,right,I,i,switch,0.243,0.336,0.576
left,right,I,i,repeat,0.222,0.323,0.538
right,right,C,i,switch,0.292,0.15,0.435
left,left,C,c,switch,0.27,0.184,0.46
left,left,C,c,repeat,0.251,0.205,0.454
right,right,C,c,switch,0.27,0.187,0.452
left,left,C,c,switch,0.24,0.253,0.492
left,right,I,c,repeat,0.324,0.255,0.569
left,right,I,i,repeat,0.252,0.305,0.553
right,right,C,i,switch,0.223,0.203,0.418
right,left,I,c,repeat,0.259,0.292,0.542
right,right,C,i,repeat,0.304,0.186,0.486
left,left,C,c,switch,0.237,0.226,0.456
left,right,I,c,repeat,0.26,0.318,0.573
left,left,C,i,repeat,0.253,0.25,0.505
left,right,I,c,repeat,0.251,0.308,0.552
left,left,C,i,repeat,0.221,0.207,0.42
left,right,I,c,repeat,0.274,0.19,0.451
left,left,C,i,repeat,0.274,0.24,0.507
right,left,I,c,switch,0.277,0.223,0.49
left,right,I,i,switch,0.254,0.237,0.483
right,right,C,i,switch,0.243,0.184,0.418
right,left,I,c,repeat,0.257,0.258,0.502
left,right,I,i,switch,0.225,0.302,0.52
left,left,C,i,repeat,0.271,0.209,0.477
right,left,I,c,switch,0.258,0.249,0.505
right,right,C,i,repeat,0.244,0.209,0.436
right,left,I,c,repeat,0.184,0.252,0.441
right,left,I,i,repeat,0.225,0.238,0.458
left,left,C,i,switch,0.227,0.239,0.457
right,left,I,c,switch,0.256,0.188,0.435
right,left,I,i,repeat,0.217,0.375,0.586
left,left,C,i,switch,0.257,0.356,0.604
left,right,I,c,repeat,0.034,0.487,0.525
right,left,I,i,switch,0.24,0.349,0.59
left,right,I,i,switch,0.221,0.202,0.426
